study_id,pmid,doi,first_author,publication_year,article_title
S0040,39677782,10.1101/2024.12.02.626520,Augustine Natasha,2024,"Detection and characterization of Langya virus in Crocidura lasiura, Republic of Korea"
S0041,37363265,10.1016/j.onehlt.2023.100529,Dolyce H.W. Low,2023,Cencurut virus: A novel Orthonairovirus from Asian house shrews (Suncus murinus) in Singapore
S0042,37376613,10.3390/v15061313,Se Hun Gu,2023,Multiple Lineages of Hantaviruses Harbored by the Iberian Mole (Talpa occidentalis) in Spain
S0043,37433351,10.1016/j.virusres.2023.199171,Reimar Johne,2023,Genome analysis of the novel putative rotavirus species K
S0044,37634660,10.1016/j.virs.2023.08.004,Xing Zhang,2023,"Natural circulation of tick-borne severe fever with thrombocytopenia syndrome virus in the city ecosystem, China"
S0045,37734372,10.1016/j.cell.2023.08.029,Yan-Mei Chen,2023,Host traits shape virome composition and virus transmission in wild small mammals
S0046,37795019,10.3389/fvets.2023.1213990,Luca De Sabato,2023,"Erinaceus coronavirus persistence in hedgehogs (Erinaceus europaeus) in a non-invasive, in vivo, experimental setting"
S0047,38059490,10.1099/jgv.0.001917,Ternenge Apaa,2023,Lack of detection of SARS-CoV-2 in British wildlife 2020–21 and first description of a stoat (Mustela erminea) Minacovirus
S0048,38137960,10.3390/life13122359,Petra Svoboda Karić,2023,First Molecular Evidence of Seewis Virus in Croatia
S0049,38187621,10.1101/2023.12.24.573235,Jérémy Dubrulle,2023,Effect of habitat degradation on hantavirus infection among introduced and endemic small mammals of Madagascar
S0050,39736935,10.3389/fvets.2024.1486635,A. V. Lukina-Gronskaya,2024,Novel coronaviruses and mammarenaviruses of hedgehogs from Russia including the comparison of viral communities of hibernating and active specimens
S0051,39846190,10.24272/j.issn.2095-8137.2024.298,Fu-Li Li,2025,Identification of novel rodent and shrew orthohepeviruses sheds light on hepatitis E virus evolution
S0052,39849055,10.1038/s41598-025-87108-2,Károly Takáts,2025,Novel relatives of Mecsek Mountains mammarenavirus (family Arenaviridae) in hedgehogs living in different sampling areas in Hungary
S0053,39921690,10.1007/s00705-025-06231-7,Akbar Dastjerdi,2025,"Intraspecific variation of the hedgehog arteriviruses, which may constitute a new genus in the subfamily Heroarterivirinae of the family Arteriviridae"
S0054,39983689,10.3201/eid3102.241155,Rhys H. Parry,2025,"Henipavirus in Northern Short-Tailed Shrew, Alabama, USA"
S0055,40033356,10.1186/s40168-025-02059-0,Nailou Zhang,2025,Virome landscape of wild rodents and shrews in Central China
S0056,40102882,10.1186/s12985-025-02702-0,Yongman Guo,2025,"Virome diversity and potential sharing of wild mammals in a biodiversity hotspot, Yunnan, China"
S0057,40212663,10.1016/j.onehlt.2025.101017,Augustine Natasha,2025,"Detection and characterization of Langya virus in Crocidura lasiura (the Ussuri white-toothed shrew), Republic of Korea"
S0058,40303134,10.1155/2024/4670252,Kevin P. Mulder,2024,"High Prevalence of a Novel Circovirus in the European Hedgehog (Erinaceus europaeus), a Common Species in Decline"
S0059,40375974,10.1093/pnasnexus/pgaf144,Daniel Nobach,2025,Experimental infection of shrews (Crocidura russula) with Borna disease virus 1: Insights into viral spread and shedding
S0060,35632599,10.3390/v14050857,Iori Koizumi,2022,Comprehensive Surveillance of Virus Infection among Captive African Pygmy Hedgehogs in Japan
S0061,35854826,10.1093/ve/veac061,Bert Vanmechelen,2022,The characterization of multiple novel paramyxoviruses highlights the diverse nature of the subfamily Orthoparamyxovirinae
S0062,36169417,10.1128/spectrum.01306-22,Václav Hönig,2022,Orthohantaviruses in Reservoir and Atypical Hosts in the Czech Republic: Spillover Infection and Indication of Virus-Specific Tissue Tropism
S0063,36215163,10.1099/jgv.0.001796,Takehiro Ozeki,2022,"Identification of novel orthonairoviruses from rodents and shrews in Gabon, Central Africa"
S0064,36417938,10.3201/eid2812.220668,Chaoyue Zhao,2022,"Hedgehogs as Amplifying Hosts of Severe Fever with Thrombocytopenia Syndrome Virus, China"
S0065,36626061,10.1007/s11262-022-01965-x,Yotaro Shimazaki,2023,Identification and characterization of the genome of a papillomavirus from skin lesions of four-toed hedgehogs (Atelerix albiventris)
S0066,36677332,10.3390/microorganisms11010041,Tryntsje Cuperus,2023,"Occurrence of Rickettsia spp., Hantaviridae, Bartonella spp. and Leptospira spp. in European Moles (Talpa europaea) from the Netherlands"
S0067,37112861,10.3390/v15040881,Fuka Kikuchi,2023,Phylogeny of Shrew- and Mole-Borne Hantaviruses in Poland and Ukraine
S0068,37242355,10.3390/pathogens12050685,Dorcus C. A. Omoga,2023,"Divergent Hantavirus in Somali Shrews (Crocidura somalica) in the Semi-Arid North Rift, Kenya"
S0069,37291370,10.1007/s00705-023-05804-8,Gábor Reuter,2023,A novel mammarenavirus (family Arenaviridae) in hedgehogs (Erinaceus roumanicus) in Europe
S0070,34177835,10.3389/fmicb.2021.653873,Wenqiao He,2021,"Detection of Virus-Related Sequences Associated With Potential Etiologies of Hepatitis in Liver Tissue Samples From Rats, Mice, Shrews, and Bats"
S0071,34332417,10.1016/j.rvsc.2021.07.016,Rongduo Wen,2021,"African pygmy hedgehog adenovirus: Virus replication, virus-induced cytopathogenesis and activation of mitogen-activated protein kinase signaling pathways in infected MDCK cells"
S0072,34342470,10.4102/ojvr.v88i1.1911,William C. McMahon,2021,"Surveillance of the rabies-related lyssavirus, Mokola in non-volant small mammals in South Africa"
S0073,34372492,10.3390/v13071286,Liudmila N. Yashina,2021,Geographic Distribution and Phylogeny of Soricine Shrew-Borne Seewis Virus and Altai Virus in Russia
S0074,34696450,10.3390/v13102020,Seung-Ho Lee,2021,Discovery and Genetic Characterization of Novel Paramyxoviruses Related to the Genus Henipavirus in Crocidura Species in the Republic of Korea
S0075,34811484,10.1038/s42003-021-02828-1,Heidi K. Goethert,2021,Incrimination of shrews as a reservoir for Powassan virus
S0076,35169491,10.1093/ve/veac004,Alexander Falkenhagen,2022,Genetic and biological characteristics of species A rotaviruses detected in common shrews suggest a distinct evolutionary trajectory
S0077,35215906,10.3390/v14020309,Liudmila N. Yashina,2022,"Academ Virus, a Novel Hantavirus in the Siberian Mole (Talpa altaica) from Russia"
S0078,35298912,10.1016/j.cell.2022.02.014,Wan-Ting He,2022,Virome characterization of game animals in China reveals a spectrum of emerging pathogens
S0079,35336869,10.3390/v14030462,Reimar Johne,2022,Whole Genome Sequence Analysis of a Prototype Strain of the Novel Putative Rotavirus Species L
S0080,32630296,10.3390/v12070715,Huimin Bai,2020,Characterization of a Novel Rat Hepatitis E Virus Isolated from an Asian Musk Shrew (Suncus murinus)
S0081,32634600,10.1016/j.meegid.2020.104454,Jin-Jin Chen,2020,Distribution and characteristics of Beilong virus among wild rodents and shrews in China
S0082,32734101,10.1016/j.vas.2019.100083,H. Ochiai,2020,An African pygmy hedgehog adenovirus 1 (AhAdV-1) outbreak in an African pygmy hedgehog (Atelerix albiventris) colony in Japan
S0083,33014888,10.3389/fcimb.2020.00460,Schuyler W. Liphardt,2020,Reassortment Between Divergent Strains of Camp Ripley Virus (Hantaviridae) in the Northern Short-Tailed Shrew (Blarina brevicauda)
S0084,33168902,10.1038/s41598-020-76419-1,Bert Vanmechelen,2020,"Common occurrence of Belerina virus, a novel paramyxovirus found in Belgian hedgehogs"
S0085,33375950,10.1186/s12985-020-01477-w,Olivia Wesula Lwande,2020,Seewis hantavirus in common shrew (Sorex araneus) in Sweden
S0086,33419245,10.3390/v12121471,Luca De Sabato,2020,Can Coronaviruses Steal Genes from the Host as Evidenced in Western European Hedgehogs by EriCoV Genetic Characterization?
S0087,33553564,10.1016/j.onehlt.2021.100218,Erica S. Neves,2021,Genetic diversity and expanded host range of astroviruses detected in small mammals in Singapore
S0088,33667697,10.1016/j.ijid.2021.02.105,Yuri Ushijima,2021,"Identification of potential novel hosts and the risk of infection with lymphocytic choriomeningitis virus in humans in Gabon, Central Africa"
S0089,33684147,10.1371/journal.pone.0248244,Joa Braïthe Mangombi,2021,"First investigation of pathogenic bacteria, protozoa and viruses in rodents and shrews in context of forest-savannah-urban areas interface in the city of Franceville (Gabon)"
S0090,31373319,10.3390/v11070637,Schuyler W. Liphardt,2019,Complex History of Codiversification and Host Switching of a Newfound Soricid-Borne Orthohantavirus in North America
S0091,31422116,10.1016/j.virusres.2019.197717,Liudmila N. Yashina,2019,Co-circulation of distinct shrew-borne hantaviruses in the far east of Russia
S0092,31540127,10.3390/v11090857,Hae Ji Kang,2019,Highly Divergent Genetic Variants of Soricid-Borne Altai Virus (Hantaviridae) in Eurasia Suggest Ancient Host-Switching Events
S0093,31549303,10.1007/s00705-019-04414-7,Gábor Reuter,2019,Analysis of a novel RNA virus in a wild northern white-breasted hedgehog (Erinaceus roumanicus)
S0094,31742508,10.3201/eid2512.191225,Reimar Johne,2019,"Distantly Related Rotaviruses in Common Shrews, Germany, 2004–2014"
S0095,31866632,10.1292/jvms.19-0424,Hayato Harima,2020,Detection of novel orthoreovirus genomes in shrew (Crocidura hirta) and fruit bat (Rousettus aegyptiacus)
S0096,31917639,10.7589/2019-09-238,Iryna V. Demchyshyna,2020,Cocirculation of Two Orthohantavirus Species in Small Mammals of the Northwestern Ukraine
S0097,32056842,10.1016/j.virol.2020.01.012,Seung-Ho Lee,2020,Genetic diversity and phylogeography of Jeju Orthohantavirus (Hantaviridae) in the Republic of Korea
S0098,32121543,10.3390/ani10030407,Mauro Delogu,2020,Eco-Virological Preliminary Study of Potentially Emerging Pathogens in Hedgehogs (Erinaceus europaeus) Recovered at a Wildlife Treatment and Rehabilitation Center in Northern Italy
S0099,32487013,10.1089/vbz.2019.2542,Cristina Fevola,2020,Geographical Distribution of Ljungan Virus in Small Mammals in Europe
S0100,19870633,10.1084/jem.65.6.767,Max Theiler,1937,The effect of prolonged cultivation in vitro upon the pathogenicity of yellow fever virus
S0101,Not identified,Not reported,O. Kozuch,1966,Survival of tick borne encephalitis virus in the tick Ixodes ricinus and the transmission of this virus to the hedge hog (Erinaceus roumanicus)
S0102,6006817,Not reported,A. Simková,1966,Quantitative study of experimental Tahyna virus infection in hibernating hedgehogs
S0103,14328232,Not reported,O. Kozuch,1965,Experimental infection of the mole with tick-borne encephalitis virus
S0104,4380780,Not reported,O. Kozuch,1966,Transmission of tick-borne encephalitis virus by nymphs of Ixodes ricinus to the European mole (Talpa europaea)
S0105,14173478,Not reported,O. Kozuch,1964,Alimentary infection of the hedgehog with tick-borne encephalitis (TE) virus
S0106,14064835,Not reported,O. Kozuch,1963,Persistence of tick-borne encephalitis virus in hibernating hedgehogs and dormice
S0107,13197893,Not reported,L. Placidi,1954,[Transmission of Newcastle virus to the hedgehog]
S0108,30448834,10.1159/000493796,Nkom Felix Ntumvi,2018,High Herpesvirus Diversity in Wild Rodent and Shrew Species in Central Africa
S0109,30475680,10.1177/1040638718812123,David B. Needle,2019,Fatal bronchopneumonia caused by skunk adenovirus 1 in an African pygmy hedgehog
S0110,30577796,10.1186/s12917-018-1746-z,Wenqiao He,2018,The prevalence and genomic characteristics of hepatitis E virus in murine rodents and house shrews from several regions in China
S0111,30602429,10.17236/sat00191,K. Schönbächler,2019,Frühsommer-Meningoenzephalitis-Virus Nachweis beim Europäischen Igel (Erinaceus europaeus)
S0112,30795524,10.3390/v11020181,Moussa Moïse Diagne,2019,Usutu Virus Isolated from Rodents in Senegal
S0113,30884426,10.1016/j.virol.2019.03.007,Fang-Yuan Nie,2019,Discovery of a highly divergent hepadnavirus in shrews from China
S0114,31063092,10.1017/S0950268819000207,I. F. Saldanha,2019,Extension of the known distribution of a novel clade C betacoronavirus in a wildlife host
S0115,31216240,10.1089/vbz.2018.2424,Wen-Qiao He,2019,Detection of Hepatitis B Virus-Like Nucleotide Sequences in Liver Samples from Murine Rodents and Asian House Shrews
S0116,31371507,10.1073/pnas.1908072116,Andrea Rasche,2019,Highly diversified shrew hepatitis B viruses corroborate ancient origins and divergent infection patterns of mammalian hepadnaviruses
S0117,29095685,10.1099/jgv.0.000948,Alma Gedvilaite,2017,Novel polyomaviruses in shrews (Soricidae) with close similarity to human polyomavirus 12
S0118,29133028,10.1016/j.meegid.2017.11.010,Jiaxin Ling,2018,Evolution and postglacial colonization of Seewis hantavirus with Sorex araneus in Finland
S0119,29169627,10.1016/j.jcpa.2017.09.006,K. Koyama,2017,Cytomegalic Inclusion Disease caused by Cytomegalovirus Infection in the Salivary Glands of an African Hedgehog (Atelerix arbiventris)
S0120,29186061,10.3390/v9120364,Elodie Monchatre-Leroy,2017,"Identification of Alpha and Beta Coronavirus in Wildlife Species in France: Bats, Rodents, Rabbits, and Hedgehogs"
S0121,29272370,10.1093/gbe/evx268,Lies Laenen,2018,"A Novel Hantavirus of the European Mole, Bruges Virus, Is Involved in Frequent Nova Virus Coinfections"
S0122,29407376,10.1016/j.virol.2018.01.017,Yi-Quan Xiong,2018,Detection and phylogenetic analysis of torque teno virus (TTV) carried by murine rodents and house shrews in China
S0123,30005641,10.1186/s13071-018-2991-5,Ayodeji Olayemi,2018,"Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria"
S0124,30042503,10.1038/s41598-018-29560-x,Bert Vanmechelen,2018,"Expanding the Arterivirus Host Spectrum: Olivier’s Shrew Virus 1, A Novel Arterivirus Discovered in African Giant Shrews"
S0125,30226801,10.7589/2018-05-124,Carlos Calvete,2019,Detection of Rabbit Hemorrhagic Disease Virus GI.2/RHDV2/b in the Mediterranean Pine Vole (Microtus duodecimcostatus) and White-Toothed Shrew (Crocidura russula)
S0126,30285857,10.1186/s40168-018-0554-9,Zhiqiang Wu,2018,Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases
S0127,27303915,10.1089/vbz.2015.1834,Valentina N. Bakhvalova,2016,"Tick-Borne Encephalitis Virus Diversity in Ixodid Ticks and Small Mammals in South-Western Siberia, Russia"
S0128,27433135,10.1186/s41182-016-0017-6,Hae Ji Kang,2016,"Dahonggou Creek virus, a divergent lineage of hantavirus harbored by the long-tailed mole (Scaptonyx fusicaudus)"
S0129,27862516,10.1111/mec.13887,Lies Laenen,2016,"Spatio-temporal analysis of Nova virus, a divergent hantavirus circulating in the European mole in Belgium"
S0130,28287930,10.1089/vbz.2016.2056,Xi-Feng Sun,2017,"Detection of Imjin Virus and Seoul Virus in Crocidurine Shrews in Shandong Province, China"
S0131,28295052,10.1038/srep44369,Seung-Ho Lee,2017,"Dynamic Circulation and Genetic Exchange of a Shrew-borne Hantavirus, Imjin virus, in the Republic of Korea"
S0132,28323557,10.1089/vbz.2016.2019,Yue Sun,2017,Seroprevalence of Severe Fever with Thrombocytopenia Syndrome Virus in Hedgehog from China
S0133,28634359,10.1038/emi.2017.36,Herbert Weissenböck,2017,Infections of horses and shrews with Bornaviruses in Upper Austria: a novel endemic area of Borna disease
S0134,28637760,10.1128/JVI.00764-17,Wen Wang,2017,Discovery of a Highly Divergent Coronavirus in the Asian House Shrew from China Illuminates the Origin of the Alphacoronaviruses
S0135,28721632,10.1007/s12250-017-3973-z,Bo Wang,2017,"Detection and characterization of three zoonotic viruses in wild rodents and shrews from Shenzhen city, China"
S0136,28972544,10.3390/v9100283,Jeffrey B. Doty,2017,Assessing Monkeypox Virus Prevalence in Small Mammals at the Human–Animal Interface in the Democratic Republic of the Congo
S0137,25530620,10.4267/2042/54201,Jean-Pierre Hugot,2014,Genetic Diversity of Talpa Europaea and Nova Hanta Virus (NVAV) in France
S0138,25874643,10.1371/journal.pone.0118483,Terry A. Klein,2015,"Hantaan Virus Surveillance Targeting Small Mammals at Nightmare Range, a High Elevation Military Training Area, Gyeonggi Province, Republic of Korea"
S0139,26313904,10.1371/journal.pone.0137018,Daniel Nobach,2015,Shedding of Infectious Borna Disease Virus-1 in Living Bicolored White-Toothed Shrews
S0140,26324724,10.4269/ajtmh.15-0344,Peter J. Walker,2015,"Genomic Characterization of Yogue, Kasokero, Issyk-Kul, Keterah, Gossas, and Thiafora Viruses: Nairoviruses Naturally Infecting Bats, Shrews, and Ticks"
S0141,26575627,10.1073/pnas.1516992112,Jan Felix Drexler,2015,Evolutionary origins of hepatitis A virus in small mammals
S0142,26892544,10.1038/srep21119,Se Hun Gu,2016,Isolation and partial characterization of a highly divergent lineage of hantavirus from the European mole (Talpa europaea)
S0143,26921799,10.1016/j.meegid.2016.01.031,Se Hun Gu,2016,Genetic variants of Cao Bang hantavirus in the Chinese mole shrew (Anourosorex squamipes) and Taiwanese mole shrew (Anourosorex yamashinai)
S0144,26980673,10.1007/s11262-016-1315-0,Xue-yan Zheng,2016,Detection of novel adenoviruses in fecal specimens from rodents and shrews in southern China
S0145,27102167,10.3390/v8030084,Theocharis Tsoleridis,2016,Discovery of Novel Alphacoronaviruses in European Rodents and Shrews
S0146,27172519,10.1089/vbz.2015.1903,Satoru Arai,2016,Genetic Diversity of Artybash Virus in the Laxmann’s Shrew (Sorex caecutiens)
S0147,24793967,10.1016/j.jcv.2014.03.020,Zhifeng Li,2014,"Seroprevalence of antibodies against SFTS virus infection in farmers and animals, Jiangsu, China"
S0148,24874196,10.1016/j.virusres.2014.05.014,Xian-Dan Lin,2014,"Biodiversity and evolution of Imjin virus and Thottapalayam virus in Crocidurinae shrews in Zhejiang Province, China"
S0149,24997334,10.1016/j.meegid.2014.06.023,Jiaxin Ling,2014,Hantaviruses in Finnish soricomorphs: Evidence for two distinct hantaviruses carried by Sorex araneus suggesting ancient host-switch
S0150,25087879,10.1016/j.virusres.2014.07.021,Cai-Qiao Wang,2014,"Co-circulation of Hantaan, Kenkeme, and Khabarovsk Hantaviruses in Bolshoy Ussuriysky Island, China"
S0151,25129384,10.1016/j.vetmic.2014.07.012,Hiroo Madarame,2014,Detection of a pneumonia virus of mice (PVM) in an African hedgehog (Atelerix arbiventris) with suspected wobbly hedgehog syndrome (WHS)
S0152,25319753,10.1099/vir.0.070219-0,Yasuko Orba,2015,Orthopoxvirus infection among wildlife in Zambia
S0153,25381053,10.1099/vir.0.071209-0,Michihito Sasaki,2015,Metagenomic analysis of the shrew enteric virome reveals novel viruses related to human stool-associated viruses
S0154,25418111,10.3201/eid2012.141013,Jian-Wei Liu,2014,"Prevalence of SFTSV among Asian House Shrews and Rodents, China, January–August 2013"
S0155,25445646,10.1016/j.meegid.2014.10.017,Se Hun Gu,2014,Co-circulation of Soricid- and Talpid-borne Hantaviruses in Poland
S0156,25506671,10.1016/j.virol.2014.11.026,Kun Li,2015,"Isolation and characterization of a novel arenavirus harbored by Rodents and Shrews in Zhejiang province, China"
S0157,22828778,10.1007/s00705-012-1405-9,Mathias Schlegel,2012,"Novel serological tools for detection of Thottapalayam virus, a Soricomorpha-borne hantavirus"
S0158,23693084,10.1186/1743-422X-10-160,Se Hun Gu,2013,"Boginia virus, a newfound hantavirus harbored by the Eurasian water shrew (Neomys fodiens) in Poland"
S0159,23876489,10.3201/eid1908.130069,Dawei Guan,2013,"Asian Musk Shrew as a Reservoir of Rat Hepatitis E Virus, China"
S0160,23602837,10.1016/j.meegid.2013.04.008,Lukáš Radosa,2013,Detection of shrew-borne hantavirus in Eurasian pygmy shrew (Sorex minutus) in Central Europe
S0161,23892145,10.1016/j.virusres.2013.07.011,Katarina Resman,2013,Molecular evidence and high genetic diversity of shrew-borne Seewis virus in Slovenia
S0162,23994121,10.1016/j.meegid.2013.08.016,Se Hun Gu,2013,Complete genome sequence and molecular phylogeny of a newfound hantavirus harbored by the Doucet’s musk shrew (Crocidura douceti) in Guinea
S0163,24274262,10.3201/eid1912.131076,Manon Bourg,2013,"Bicolored White-toothed Shrews as Reservoir for Borna Disease Virus, Bavaria, Germany"
S0164,24699636,10.1371/journal.pone.0093659,Ralf Dürrwald,2014,The Bicolored White-Toothed Shrew Crocidura leucodon (HERMANN 1780) Is an Indigenous Host of Mammalian Borna Disease Virus
S0165,24553099,10.1016/j.virusres.2014.02.004,Shu-Qing Zuo,2014,A new hantavirus from the stripe-backed shrew (Sorex cylindricauda) in the People’s Republic of China
S0166,21060247,Not reported in supplied PDF,Kentaro Yoshii,2011,Epizootiological Study of Tick–Borne Encephalitis Virus Infection in Japan
S0167,21303516,10.1186/1743-422X-8-56,Se Hun Gu,2011,"Genetic diversity of Imjin virus in the Ussuri white-toothed shrew (Crocidura lasiura) in the Republic of Korea, 2004-2010"
S0168,21632770,10.1128/JVI.02450-10,Hae Ji Kang,2011,Shared Ancestry between a Newfound Mole-Borne Hantavirus and Hantaviruses Harbored by Cricetid Rodents
S0169,21798050,10.1186/1743-422X-8-373,Hae Ji Kang,2011,"Molecular evolution of Azagny virus, a newfound hantavirus harbored by the West African pygmy shrew (Crocidura obscurior) in Côte d’Ivoire"
S0170,21896819,10.4269/ajtmh.2011.11-0034,Hae Ji Kang,2011,"Short Report: Genetic Diversity of Thottapalayam Virus, a Hantavirus Harbored by the Asian House Shrew (Suncus murinus) in Nepal"
S0171,21801855,10.1016/j.meegid.2011.07.013,Wen-Ping Guo,2011,A new subtype of Thottapalayam virus carried by the Asian house shrew (Suncus murinus) in China
S0172,22230701,10.1016/j.virol.2011.11.013,Satoru Arai,2012,Divergent ancestral lineages of newfound hantaviruses harbored by phylogenetically related crocidurine shrew species in Korea
S0173,22467179,10.1007/s11262-012-0736-7,Mathias Schlegel,2012,Broad geographical distribution and high genetic diversity of shrew-borne Seewis hantavirus in Central Europe
S0174,22607077,10.1089/vbz.2011.0618,Terry A. Klein,2012,"Hantaan Virus Surveillance in Small Mammals at Firing Points 10 and 60, Yeoncheon, Gyeonggi Province, Republic of Korea"
